n,x,y,radius
2.650000000000000000e+02,7.902346952058375562e-01,-6.328785474278494361e-01,1.012425863607527399e+00
2.660000000000000000e+02,7.585907678344451233e-01,-6.708080858195717422e-01,1.012641812806764907e+00
2.670000000000000000e+02,7.250503635434665251e-01,-7.070606039967450851e-01,1.012735270146524869e+00
2.680000000000000000e+02,6.896973333436292597e-01,-7.415454706639265092e-01,1.012705335565828646e+00
2.690000000000000000e+02,6.526200598104329176e-01,-7.741764736544481940e-01,1.012552297329382123e+00
2.700000000000000000e+02,6.139112361277104801e-01,-8.048720354608337457e-01,1.012277629561534331e+00
2.710000000000000000e+02,5.736676343546688317e-01,-8.335554171785671818e-01,1.011883979621091223e+00
2.720000000000000000e+02,5.319898634957405115e-01,-8.601549103533542295e-01,1.011375145367535477e+00
2.730000000000000000e+02,4.889821179780727833e-01,-8.846040162522578187e-01,1.010756042411791178e+00
2.740000000000000000e+02,4.447519171654599202e-01,-9.068416121105308259e-01,1.010032661490497752e+00
2.750000000000000000e+02,3.994098365599333955e-01,-9.268121039385275317e-01,1.009212016153093971e+00
2.760000000000000000e+02,3.530692313630069967e-01,-9.444655655066779287e-01,1.008302081007033113e+00
2.770000000000000000e+02,3.058459530876730947e-01,-9.597578631610615973e-01,1.007311720829056068e+00
2.780000000000000000e+02,2.578580599296200204e-01,-9.726507661575426456e-01,1.006250610920322419e+00
2.790000000000000000e+02,2.092255216217428770e-01,-9.831120422386298019e-01,1.005129149160693514e+00
2.800000000000000000e+02,1.600699195098113925e-01,-9.911155382141203507e-01,1.003958360302529274e+00
2.810000000000000000e+02,1.105141425991053722e-01,-9.966412453440756103e-01,1.002749793136555878e+00
2.820000000000000000e+02,6.068208033190158890e-02,-9.996753493606707064e-01,1.001515411260748500e+00
2.830000000000000000e+02,1.069831286386804803e-02,-1.000210265003864007e+00,1.000267478286299694e+00
